,article,qid,total_pageviews,description,category
294,Global_health_emergency,Q17076801,13706,"an extraordinary event which is determined to constitute a public health risk to other States through the international spread of disease and to potentially require a coordinated international response, as declared by WHO",Low-importance
295,Glycemic_load,Q1929014,278,estimate of how much a quantity of food will raise a person's blood glucose level,Mid-importance
296,Goggle,Q72797,321,forms of protective eyewear,Low-importance
297,Goggles,Q72797,91,forms of protective eyewear,Low-importance
298,Gold's_Gym,Q1536234,47783,US international fitness center chain,Low-importance
299,Google_Fit,Q18150347,117,health platform,Low-importance
300,Google_Health,Q1296464,649,"division of Google, dealing with personal health information",Unknown-importance
301,Great_American_Smokeout,Q5598647,91,Day to encourage smoking cessation,Low-importance
302,Greg_Plitt,Q5606144,94526,American fitness model and actor (1977–2015),Mid-importance
303,Gregg_Gonsalves,Q5606534,495,"American epidemiologist, health activist and MacArthur Fellow",Low-importance
304,Grippers,Q1435859,8464,used to test and increase the strength of the hands,Low-importance
305,Ground-glass_opacity,Q3150728,32740,"for some diseases or changes in the lungs, examination shows uniform-looking, lighter areas in the lungs",Unknown-importance
306,Grunya_Sukhareva,Q514110,93,Ukrainian-Russian psychiatrist and university teacher (1891-1981),Low-importance
307,Grupo_Omnilife,Q5612243,742,Mexican multi-level marketing company,Low-importance
308,Gym,Q14092,7983,building designed and equipped for athletics and fitness,Low-importance
309,Gyroscopic_exercise_tool,Q261030,151,trademark,Low-importance
310,Hair_care,Q3633540,303,hygiene and cosmetology involving human hair,Low-importance
311,Hairbrush,Q1642980,315,stick brush with rigid or soft bristles used in hair care,Low-importance
312,Halasana,Q12459994,232,inverted posture in hatha yoga,Mid-importance
313,Hammer_toe,Q602477,58225,"deformity of the proximal joint of the second, third or fourth toe",Unknown-importance
314,Handkerchief,Q192411,22445,piece of cloth for personal use,Low-importance
315,Hans_Rosling,Q588259,2232,"Swedish medical doctor, academic, statistician and public speaker",Unknown-importance
316,Harley_Pasternak,Q5658834,17498,Canadian personal trainer,Unknown-importance
317,Harm_reduction,Q1458711,22072,range of public health policies designed to lessen the negative social and/or physical consequences associated with various human behaviors,Unknown-importance
318,Harry_and_Louise,Q5673634,243,1993–94 American political ad campaign,Low-importance
319,Haven_Healthcare,Q65080847,758,American healthcare company,Low-importance
320,Healing,Q1581290,2235,process of the restoration of health,Mid-importance
321,Health,Q12147,270503,desirable level of functional or metabolic efficiency of a living being,High-importance
322,HealthCorps,Q16983661,1318,organization,Low-importance
323,Health_Authorities_Act_1995,Q16251481,277,publicly funded system of healthcare in England,High-importance
324,Health_Ministry_of_the_Gaza_Strip,Q724644,698,government ministry of the State of Palestine,Low-importance
325,Health_among_the_Amish,Q21070799,5801,Health disorders within Amish communities,Low-importance
326,Health_and_appearance_of_Michael_Jackson,Q2578140,594038,health of a celebrity,High-importance
327,Health_care,Q31207,291808,prevention of disease and promotion of wellbeing of humans and animals,High-importance
328,Health_care_in_Canada,Q3535133,294,overview of healthcare,Mid-importance
329,Health_care_in_France,Q2745492,284,overview of the health care system in France,Low-importance
330,Health_care_in_the_United_States,Q1358017,6509,health care system in the United States of America,Mid-importance
331,Health_care_prices_in_the_United_States,Q5690885,143,market and non-market factors that determine pricing,Mid-importance
332,Health_care_system_in_Japan,Q2511133,1284,overview of the health care system in Japan,Mid-importance
333,Health_department,Q1312371,287,governmental agency,Unknown-importance
334,Health_disparities,Q1512929,660,impartiality in the quality of health and healthcare,Low-importance
335,Health_education,Q60894,290,education for awareness of and influence on the attitude of health,Unknown-importance
336,Health_effects_arising_from_the_September_11_attacks,Q2059842,60084,health effects 9/11 has caused,Low-importance
337,Health_effects_of_tobacco,Q465016,24133,"circumstances, mechanisms, and factors of tobacco consumption on human health",High-importance
338,Health_equity,Q1512929,314,impartiality in the quality of health and healthcare,Low-importance
339,Health_in_China,Q3473043,186,overview of health in China,Mid-importance
340,Health_in_India,Q13156121,90,wellbeing of people in India,High-importance
341,Health_in_Vanuatu,Q60521481,126,,Low-importance
342,Health_in_the_State_of_Palestine,Q22948909,133,health issues in Palestine,Low-importance
343,Health_informatics,Q870895,25200,"discipline at the intersection of information science, computer science, and health care",High-importance
344,Health_information_on_Wikipedia,Q16235120,362,Wikipedia's content on health and medicine topics,High-importance
345,Health_insurance,Q334911,44561,insurance that covers the whole or a part of the risk of a person incurring medical and healthcare expenses,High-importance
346,Health_insurance_coverage_in_the_United_States,Q5691094,860,,High-importance
347,Health_insurance_in_the_United_States,Q5691099,27248,overview about the health insurance in the United States,High-importance
348,Health_literacy,Q3097973,477,"degree to which individuals have the capacity to obtain, process, and understand basic health information and services needed to make appropriate health decisions",Low-importance
349,Health_policy,Q1519812,441,"policy area, which deals with the planning, organization, management and financing of the health system",Unknown-importance
350,Health_professional,Q11974939,12718,individual who provides medical treatments and health advice,Mid-importance
351,Health_savings_account,Q5691144,18594,American tax-advantaged medical savings account,Low-importance
352,Health_technology,Q1519843,645,"application of organized knowledge and skills in the form of devices, medicines, vaccines, procedures and systems developed to solve a health problem",High-importance
353,Healthcare_in_Canada,Q3535133,7800,overview of healthcare,Mid-importance
354,Healthcare_in_England,Q16152524,97,overview of the health care system in England,Low-importance
355,Healthcare_in_Germany,Q245984,1477,overview of healthcare in Germany,Mid-importance
356,Healthcare_in_India,Q21901381,1182,three tier health care system,High-importance
357,Healthcare_in_Luxembourg,Q25040520,113,,Low-importance
358,Healthcare_in_Singapore,Q5691309,136,Healthcare in Singapore,Mid-importance
359,Healthcare_in_South_Korea,Q60521539,1638,overview of the healthcare in South Korea,High-importance
360,Healthcare_in_Switzerland,Q357702,1123,overview of the health care system in Switzerland,Low-importance
361,Healthcare_in_the_United_Kingdom,Q2764529,424,overview of the health care system in the United Kingdom,High-importance
362,Healthcare_in_the_United_States,Q1358017,108947,health care system in the United States of America,Mid-importance
363,Healthcare_industry,Q15067276,5341,industry dedicated to providing health care services and products,Unknown-importance
364,Healthcare_reform_in_the_United_States,Q1156735,499,overview of healthcare reforms in the United States,Mid-importance
365,Healthline,Q16983671,14580,American health information company,Unknown-importance
366,Healthy_diet,Q5906358,55801,diet that helps maintain or improve general health,High-importance
367,Heated_tobacco_product,Q28657989,1012,electric device heating cigarettes,Unknown-importance
368,Herbal_cigarette,Q490680,24160,cigarette composed of a mixture of various herbs which does not contain any tobacco,Unknown-importance
369,Herbalife,Q572948,143582,American based multi-level marketing company,Low-importance
370,High-deductible_health_plan,Q5754479,486,health insurance plan with lower premiums and higher deductibles than a traditional health plan,Unknown-importance
371,High-intensity_interval_training,Q2756206,84549,exercise strategy alternating periods of short intense exercise with less-intense recovery periods,Low-importance
372,Hiker,Q12014035,339,"walking as a hobby, sport, or leisure activity",Mid-importance
373,Hiking,Q12014035,47801,"walking as a hobby, sport, or leisure activity",Mid-importance
374,Himalaya_Wellness_Company,Q7739717,197,Indian multinational company,Low-importance
375,Hims_&_Hers_Health,Q64363662,111468,American telehealth company,Low-importance
376,History_of_Lance_Armstrong_doping_allegations,Q6483313,5608,Cycling doping allegations,Low-importance
377,History_of_physical_training_and_fitness,Q104870187,738,history of physical training,Mid-importance
378,Home_care,Q1642542,91,"health care or supportive care provided by a professional caregiver, medical and paramedical personnel in the individual home where the patient or client is living",Unknown-importance
379,Human_body_weight,Q620876,141231,person's mass or weight,Low-importance
380,Human_height,Q476112,94035,"distance from the bottom of the feet to the top of the head in a human body, standing erect",Mid-importance
381,Human_kinetics,Q657632,450,"study of anatomy, physiology, and mechanics of body movement, especially in humans",High-importance
382,Human_medicine,Q11190,955,"field of study for diagnosing, treating and preventing disease",High-importance
383,Humana,Q910866,61962,American managed health care company,High-importance
384,Hygiene,Q162297,46710,set of practices performed for the preservation of health,Low-importance
385,Hyperextension_(exercise),Q928057,225,physical exercise,Unknown-importance
386,Hyperpalatable_food,Q123051125,119,food that triggers the brain's reward system,Mid-importance
387,ISKCON,Q190193,69744,religious organisation,High-importance
388,Impact_of_the_COVID-19_pandemic_on_prisons,Q89864650,141,impact of the ongoing viral pandemic on prisons,Mid-importance
389,Indian_club,Q2804113,5486,type of exercise equipment,Low-importance
390,Individual_shared_responsibility_provision,Q24525996,317,health insurance mandate imposed on individuals by the Affordable Care Act in the United States,Unknown-importance
391,Indoor_tanning,Q646347,735,tanning using an artificial source of ultraviolet light,Unknown-importance
392,Industrial_and_organizational_psychology,Q2045692,36668,branch of psychology,High-importance
393,Intermittent_fasting,Q1666254,264347,a diet that cycles between a period of fasting and non-fasting,Low-importance
394,International_Day_of_Yoga,Q18621241,23654,"21 June, official international day celebrating yoga",Mid-importance
395,International_Society_for_Krishna_Consciousness,Q190193,489995,religious organisation,High-importance
396,Ipana,Q6064878,714,toothpaste product by Bristol-Myers,Low-importance
397,Isometric_exercise,Q1216236,40993,Static contraction exercise,Unknown-importance
398,Jack_LaLanne,Q1677099,524110,American exercise instructor (1914–2011),Mid-importance
399,Jackson_Sanatorium,Q111903953,298,mineral spa,Low-importance
400,Jane_Bunford,Q3806992,1320,tallest recognised British person (1895-1922),Low-importance
401,Jane_Fonda's_Workout,Q104855274,1154,1982 exercise video series by Jane Fonda & Leni Cazden (re-released in 2014),Mid-importance
402,Japanese_work_environment,Q6159180,1637,"work culture in Japan characterized by simultaneous recruiting of new graduates (shinsotsu-Ikkatsu saiyō), lifetime-employment (shūshin koyō), long work-hours and strong devotion to one's company",High-importance
403,Jay_Loeffler,Q33124729,523,American physician,Unknown-importance
404,Jess_King,Q96369273,5284,fitness instructor,Unknown-importance
405,Jessie_InchauspÃ©,Q113088786,60733,French biochemist and author,Low-importance
406,Joanie_Greggains,Q6205700,144,American fitness instructor,Unknown-importance
407,Joe_Gold,Q5143667,454,founder of Gold's Gym and World Gym,Low-importance
408,Jogging,Q816261,565,form of trotting or running at a slow or leisurely pace,High-importance
409,John_Basedow,Q6220997,2617,TV Health and Fitness Personality,Low-importance
410,John_Brownstein,Q26704483,178,Canadian epidemiologist,Unknown-importance
411,Johnson_&_Johnson,Q333718,493477,"U.S multinational medical devices, pharmaceutical and consumer packaged goods manufacturer",Mid-importance
412,Juice_Plus,Q17060987,587,dietary supplement,Low-importance
413,Julia_Cheek,Q123481212,799,,Low-importance
414,Jumping_jack,Q9284972,1488,physical jumping exercise,Mid-importance
415,Karoshi,Q1051107,79049,sudden death from overwork,High-importance
416,KatrÃ­n_DavÃ­Ã°sdÃ³ttir,Q21621138,71009,Icelandic CrossFit athlete,Low-importance
417,Katy_M._O'Brian,Q104112057,349300,"American actress, writer and martial artist",Unknown-importance
418,Katy_O'Brian,Q104112057,908551,"American actress, writer and martial artist",Unknown-importance
419,Kawa_model,Q119348715,1832,conceptual model in occupational therapy,Low-importance
420,Kenneth_Brumley,Q4095786,827,One of the Worlds heaviest people,Low-importance
421,Ketchup_as_a_vegetable,Q1739859,4956,American political controversy,Unknown-importance
422,Kettlebell,Q376762,3586,"piece of equipment used in weight training, consisting of a handle and a belly of the bell",Unknown-importance
423,Kevin_Hines,Q60735041,96062,"Suicide attempt survivor, jumped from the Golden Gate Bridge, advocating against suicide",Low-importance
424,Kevin_Trudeau,Q6397659,99069,"philanthropist, entrepreneur, and mass communications expert",Low-importance
425,KidsCare,Q1141363,540,United States social health care program for families and individuals with limited resources,Mid-importance
426,Kinesiologist,Q657632,7030,"study of anatomy, physiology, and mechanics of body movement, especially in humans",High-importance
427,Kinesiology,Q657632,471944,"study of anatomy, physiology, and mechanics of body movement, especially in humans",High-importance
428,Kurmasana,Q796473,123,seated forward bending posture in hatha yoga,Mid-importance
429,LA_Fitness,Q6457180,48019,health club chain in the United States and Canada,Low-importance
430,LRC_International,Q1675535,226,British company,Low-importance
431,Lactate_threshold,Q3480702,208,oxygen consumption level above which aerobic energy production is supplemented by anaerobic mechanisms during exercise,High-importance
432,Laundry,Q852100,31798,process of washing textiles,Low-importance
433,Laxative,Q217972,69145,"agents that produce a soft formed stool, and relax and loosen the bowels, typically used over a protracted period, to relieve constipation",Mid-importance
434,"Lead_contamination_in_Washington,_D.C.,_drinking_water",Q6508405,287,water contamination incident in the United States,Low-importance
435,Leg_extension,Q2588216,94,resistance weight training exercise,Unknown-importance
436,Legal_drinking_age,Q2915195,351536,minimum age for legal alcohol consumption,Low-importance
437,Legal_smoking_age,Q7546043,33247,minimum age to purchase or use tobacco products,Mid-importance
438,Let's_Move!,Q6532507,953,public health campaign in the United States,Low-importance
439,Lethargy,Q15637420,3334,"state of tiredness, weariness, fatigue, or lack of energy",Low-importance
440,Life_Time_Fitness,Q6545004,50506,chain of fitness centers operating in the United States and Canada,Low-importance
441,Lifestyle_disease,Q12600757,289,"non-communicable diseases linked with the way people live their life, commonly caused by lack of physical activity, unhealthy eating, alcohol, drugs and smoking",Mid-importance
442,Light_pollution,Q180644,52935,"anthropogenic light in the night environment, caused by excess or misdirected lighting",Low-importance
443,Lip_balm,Q1518347,14900,wax-like substance for moisturizing and relieving chapped or dry lips,Low-importance
444,List_of_asanas,Q2240937,18366,Wikimedia list article,Mid-importance
445,List_of_awareness_ribbons,Q2585434,91484,Wikimedia list article,Low-importance
446,List_of_barefooters,Q128693423,127,Wikimedia list article,Unknown-importance
447,List_of_countries_by_infant_and_under-five_mortality_rates,Q1373300,3514,Wikimedia list article,Low-importance
448,List_of_deaths_due_to_COVID-19,Q88027839,90061,Wikimedia list article,High-importance
449,List_of_fatal_dog_attacks,Q96389388,795,list of fatal dog attacks worldwide,Unknown-importance
450,List_of_foodborne_illness_outbreaks_in_the_United_States,Q6620586,876,Wikimedia list article,Low-importance
451,List_of_health_deities,Q51845850,56420,Wikimedia list article,Low-importance
452,List_of_smoking_bans,Q1850609,1277,Wikimedia list article,Low-importance
453,List_of_sovereign_states_by_body_mass_index,Q25214343,19372,Wikimedia list article,High-importance
454,List_of_swimming_styles,Q1154385,1093,swimming style,Low-importance
455,List_of_toothpaste_brands,Q17006249,11720,Wikimedia list article,Mid-importance
456,List_of_weight_training_exercises,Q4350159,5639,Wikimedia list article,Low-importance
457,Low-emission_zone,Q647266,131,defined area,High-importance
458,Lucille_Roberts,Q14948759,121,American businessman,Low-importance
459,Lunge_(exercise),Q2302075,1074,type of exercise,Unknown-importance
460,Lviv_State_University_of_Physical_Culture,Q4271075,175,"public university in Lviv, Ukraine",Low-importance
461,Lying-in,Q17005954,92,old childbirth practice,Low-importance
462,MIND_diet,Q22906945,6297,Diet intended to delay neurodegeneration,Low-importance
463,Maeve_Kennedy_McKean,Q75326815,165241,"American public health official, human rights attorney and academic ( 1979-2020)",Low-importance
464,Major_depressive_disorder,Q42844,43185,"all-encompassing low mood accompanied by low self-esteem, and by loss of interest or pleasure in normally enjoyable activities",High-importance
465,Mall_walking,Q6744008,224,form of exercise in which people walk or jog through the usually long corridors of shopping malls,Unknown-importance
466,Managed_care,Q1416012,26908,type of health insurance system,Mid-importance
467,Management_of_obesity,Q6746705,119,body fat reduction,Low-importance
468,Manicure,Q747493,13430,cosmetic beauty treatment for the fingernails and hands,Low-importance
469,Manicurist,Q11325221,762,nail technician or manicurist,Low-importance
470,Mannatech,Q3372572,115,American multi-level marketing company,Low-importance
471,Manscaped,Q109236238,4631,male grooming product company and brand,Low-importance
472,Mansel_Aylward,Q20962004,146,British health scientist,Low-importance
473,Maria_Kang,Q21285289,381,"American fitness advocate, coach, blogger and founder of the No Excuse Mom movement",Mid-importance
474,Mark_Mastrov,Q22006688,253,American businessman (born 1958),Low-importance
475,Mark_Rippetoe,Q6769444,512,American strength coach,Unknown-importance
476,Mark_Sisson,Q2687894,2054,American endurance athlete,Low-importance
477,Mary_Carson_Breckinridge,Q3850444,208,American nurse (1881–1965),Unknown-importance
478,Maslow's_hierarchy_of_needs,Q179515,1219581,"theory in developmental psychology proposed by Abraham Maslow, comprising a five-tier model of human needs: physiological, safety, love and belonging, esteem, and self-actualization",Unknown-importance
479,Massage,Q179415,182144,"mechanical manipulation of skin, connective tissue and muscles through stretching, train and pressure stimulus",Low-importance
480,Massage_Envy,Q10327170,351,massage shop chain,Low-importance
481,Mat_Fraser_(athlete),Q21621317,26133,Canadian-American professional CrossFit athlete,Unknown-importance
482,Matthew_Kenney,Q16195623,8733,American chef,Low-importance
483,McKesson_Corporation,Q570473,113642,U.S. healthcare supplies,Mid-importance
484,Meatless,Q83364,948,practice of abstaining from the consumption of meat,Mid-importance
485,Medicaid,Q1141363,194105,United States social health care program for families and individuals with limited resources,Mid-importance
486,Medicaid_coverage_gap,Q24526016,108,In U.S. public healthcare policy,Unknown-importance
487,Medical_drama,Q1786567,7385,television drama program where events center around a medical environment,Low-importance
488,Medical_malpractice,Q2565355,33547,legal cause of action when health professionals deviate from standards of practice harming a patient,Low-importance
489,Medicare.gov,Q559392,35257,US federal health insurance,Mid-importance
490,Medicare_(Canada),Q6806631,463,"Canada's publicly funded, single-payer health care system",High-importance
491,Medicare_(United_States),Q559392,262716,US federal health insurance,Mid-importance
492,Medicine,Q11190,335089,"field of study for diagnosing, treating and preventing disease",High-importance
493,Medicine_ball,Q1304461,727,piece of exercise equipment,Low-importance
494,Men's_health,Q4141483,540,"physical, mental, and social well-being, as experienced by boys and men",Low-importance
495,Menstrual_Hygiene_Day,Q22205294,402,annual awareness day to highlight the importance of good menstrual hygiene management,Low-importance
496,Mental_breakdown,Q12135,128305,distressing thought or behavior pattern,High-importance
497,Mental_disorder,Q12135,511180,distressing thought or behavior pattern,High-importance
498,Mental_health,Q317309,249151,level of psychological well-being,High-importance
499,Mental_health_during_the_COVID-19_pandemic,Q89058901,267,"impact of the pandemic on the mental health, including stress, anxiety and worry for many individuals around the world, arising both from the disease itself and from response measures such as social distancing",Low-importance
500,Menthol_cigarette,Q6817560,14941,cigarette with mint taste,Low-importance
501,Meswak,Q6822185,800,toothpaste brand of Dabur,Low-importance
502,Michael_Greger,Q6830782,56390,"American physician, author, and health activist",Low-importance
503,Microlife,Q6839618,1127,unit of risk representing half an hour change of life expectancy,Low-importance
504,Microplastics_effects_on_human_health,Q124750856,337,how plastic particles affect human health,Low-importance
505,Middle_age,Q1202615,128419,period of age beyond young adulthood but before the onset of old age,Mid-importance
506,Mike_Katz,Q1369606,910,American bodybuilder,Low-importance
507,Mills_Darden,Q4155045,397,Alleged largest man in history,Low-importance
508,Minister_of_health,Q3273722,317,minister in charge of health matters,Low-importance
509,"Ministry_of_Health,_Palestine",Q724644,5885,government ministry of the State of Palestine,Low-importance
510,Ministry_of_Health_(Israel),Q2079801,137,Israeli ministry of health,Low-importance
511,Ministry_of_Health_(Palestine),Q724644,1340,government ministry of the State of Palestine,Low-importance
512,Minority_stress,Q17103967,180,type of stress faced by members of stigmatized minority groups,Low-importance
513,Mobility_impairment,Q1179623,1041,"limitation on a person's physical functioning, mobility, dexterity or stamina",Low-importance
514,MonaVie,Q2597545,750,American multi-level marketing company,Low-importance
515,Mona_Vie,Q2597545,254,American multi-level marketing company,Low-importance
516,Moose_test,Q1325532,607,evasive maneuver vehicle test,Low-importance
517,Morbid_obesity,Q12174,31283,medical condition in which individuals have an excess of body fat,High-importance
518,Mount_Sinai_Health_System,Q5165549,5469,US hospital network,Mid-importance
519,Movember,Q31489,65298,annual charity event,Low-importance
520,Murder_of_Yadira_Arroyo,Q121734344,6021,"2017 murder in the Bronx, New York, United States",Low-importance
521,Muscle_hypertrophy,Q1955391,43003,enlargement or overgrowth of a muscle organ,Mid-importance
522,MyFitnessPal,Q6944817,29172,free app and website that tracks diet and exercise,Low-importance
523,MyPyramid,Q6944857,110,nutrition guide,Low-importance
524,Myalgia,Q474959,90238,muscle pain,Mid-importance
525,NHS,Q918396,452,publicly-funded healthcare systems in the United Kingdom,High-importance
526,NHSScotland,Q16933548,144,Publicly-funded healthcare system in Scotland,High-importance
527,NHS_(England),Q16251481,361,publicly funded system of healthcare in England,High-importance
528,NHS_Choices,Q16251481,357,publicly funded system of healthcare in England,High-importance
529,NHS_Scotland,Q16933548,316,Publicly-funded healthcare system in Scotland,High-importance
530,NIOSH_air_filtration_rating,Q23582148,134,rating system for respirators designed to protect against contaminated air particles,Low-importance
531,Nail_clipper,Q270380,901,tool for trimming toe or finger nails,Low-importance
532,Naked_Mile_(event),Q119770589,1649,informal athletics event,Low-importance
533,Naked_swimming,Q2179394,591,swimming without clothing,Low-importance
534,Nap,Q5242962,1963,short period of sleep during typical waking hours,Mid-importance
535,National_Health_Service,Q918396,67446,publicly-funded healthcare systems in the United Kingdom,High-importance
536,National_Health_Service_(England),Q16251481,8719,publicly funded system of healthcare in England,High-importance
537,National_Institute_for_Occupational_Safety_and_Health,Q60346,1485,United States government research agency for preventing work-related health and safety problems,Mid-importance
538,National_health_insurance,Q1519138,403,system of health insurance that insures a national population against the costs of health care,Mid-importance
539,Native_American_disease_and_epidemics,Q6979955,54325,"diseases spread, mainly by European colonists, with harsh effects on Native Americans",Mid-importance
540,Nature's_Sunshine_Products,Q4045079,147,American multi-level marketing company,Low-importance
541,Neal_D._Barnard,Q6984087,1225,"American physician, author, and clinical researcher",Low-importance
542,Neurobiological_effects_of_physical_exercise,Q5347380,3446,"neural, cognitive, and behavioral effects of physical exercise",Mid-importance
543,Neutrogena,Q2451589,1782,Cosmetics company,Low-importance
544,Nicotine_withdrawal,Q3961638,17251,process of withdrawing from nicotine addiction,Unknown-importance
545,Nivea,Q337408,1460,German personal care brand that specializes in skin and body care,Low-importance
546,Noise-induced_hearing_loss,Q1475712,106,condition in which a person loses the ability to hear due to exposure to high intensity sound,Unknown-importance
547,Noise_pollution,Q92251,15493,"excessive, displeasing human, animal, or machine-created environmental noise",Unknown-importance
548,Nordic_walking,Q667692,3041,physical activity or sport involving cross-country walking with specially designed walking poles similar to ski poles,Unknown-importance
549,Nova_classification,Q56320892,7317,"food classification system based on the nature, extent, and purpose of industrial food processing",Mid-importance
550,Noxzema,Q7067326,986,Brand of skin cleanser marketed by Unilever,Low-importance
551,Nude_swimming,Q2179394,148498,swimming without clothing,Low-importance
552,Nutrilite,Q511601,273,"Nutrilite is a brand of mineral, vitamin, and dietary supplements developed in 1934 by Carl F. Rehnborg.",Low-importance
553,Obesity,Q12174,342975,medical condition in which individuals have an excess of body fat,High-importance
554,Obesity_and_the_environment,Q17072332,170,aims to look at the different environmental factors that have been determined by researchers to cause and perpetuate obesity,Unknown-importance
555,Obesity_and_walking,Q3138170,424,obesity and walking effects,Unknown-importance
556,Obesity_in_Australia,Q7074848,293,overview about obesity in Australia,Low-importance
557,Obesity_in_China,Q7074853,110,overview of obesity in China,Low-importance
558,Obesity_in_Germany,Q7074854,132,overview about obesity in Germany,Low-importance
559,Obesity_in_Nauru,Q7074860,40705,,Low-importance
560,Obesity_in_the_Pacific,Q7074868,4989,overview about obesity in the Pacific,Mid-importance
561,Occupational_burnout,Q327988,58354,"type of work-related stress, with symptoms characterized by feelings of energy depletion or exhaustion; increased mental distance from one’s job, or feelings of negativism or cynicism related to one's job; and reduced professional efficacy",High-importance
562,Occupational_health,Q629029,432,"area concerned with the safety, health and welfare of people at occupation",Low-importance
563,Occupational_safety_and_health,Q629029,30914,"area concerned with the safety, health and welfare of people at occupation",Low-importance
564,Occupational_stress,Q815298,405,"tensions related to workplace responsibilities or situations, and their negative health and psychological effects",Mid-importance
565,Occupational_therapy,Q380141,118951,therapy to increase skills related to work or independent living,Low-importance
566,One-repetition_maximum,Q59603,97,Maximum weight that can be lifted at once,Low-importance
567,One_weird_trick,Q22907464,448,form of clickbait advertising,Low-importance
568,One_weird_trick_advertisements,Q22907464,126,form of clickbait advertising,Low-importance
569,Open_defecation,Q17072861,43789,humans defecating outside (in the open environment) rather than into a toilet,Low-importance
570,Optum,Q30284383,159005,"company in Eden Prairie, United States",Low-importance
571,Oral_hygiene,Q13445028,4335,the practice of keeping one's oral cavity clean and free of disease and other problems (e.g. bad breath) by regular brushing of the teeth (dental hygiene) and adopting good hygiene habits,Mid-importance
572,Orangetheory_Fitness,Q25005163,31224,American boutique fitness studio franchise,Low-importance
573,Orienteering,Q29358,31912,group of sports that requires navigational skills,Mid-importance
574,Orthotics,Q59744853,71953,medical specialty that focuses on the design and application of orthoses,Mid-importance
575,Oura_Health,Q65241898,34899,Finnish technology company,Low-importance
576,Outdoor_recreation,Q968907,15449,recreation engaged out of doors,Low-importance
577,Overhead_press,Q3268839,3374,Upper body compound lift,Low-importance
578,Overtraining,Q334310,635,exercising to a load which exceeds recovery capacity,Low-importance
579,Overweight,Q332428,2228,having a body mass index of 25.0–29.9 kg/m2,High-importance
580,P90X,Q4875834,1153,Fitness and nutrition company,Low-importance
581,PHEIC,Q17076801,425,"an extraordinary event which is determined to constitute a public health risk to other States through the international spread of disease and to potentially require a coordinated international response, as declared by WHO",Low-importance
582,Palaniappan_Manickam,Q122958490,13899,Indian-American gastroenterologist,Low-importance
583,Paleo_diet,Q533945,782,fat diet based on the presumed diet of Paleolithic humans,Mid-importance
584,Paleolithic_diet,Q533945,169989,fat diet based on the presumed diet of Paleolithic humans,Mid-importance
585,Pallor,Q2336398,5394,pale skin,Low-importance
